pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	0	2	0	0	0	0	0	0	0	0	0	0	0
bike interaction---home	1	0	0	0	0	0	0	0	0	0	0	0	0
bike interaction---work	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---car interaction	0	0	0	2	0	0	0	0	0	0	0	0	0
car interaction---home	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---work	1	0	0	0	0	0	0	0	0	0	0	0	0
home---bike interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	0	0	0	1	0	1	0	0	0	0	0
work---bike interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	0	0	1	0	0	1	0	0	0	0	0

average leg duration: 707.625 seconds = 00:11:47
